,date_new,PM2.5_avg_conc,PRCP,TAVG
493,06-05-2009,NA,0,76
494,07-05-2009,187,0,78
495,08-05-2009,126.625,0.23,73
496,09-05-2009,93.83333333,0,63
497,10-05-2009,45.16666667,0,68
498,11-05-2009,104.2916667,0,77
499,12-05-2009,46.91666667,0,74
500,13-05-2009,72.21052632,0.01,70
501,14-05-2009,NA,0,64
502,15-05-2009,NA,0,67
503,16-05-2009,NA,0,73
504,17-05-2009,NA,0,80
505,18-05-2009,78.75,0,80
506,19-05-2009,100.2916667,0,80
507,20-05-2009,110.3333333,0.06,69
508,21-05-2009,53.75,0.24,71
509,22-05-2009,22.75,0,78
510,23-05-2009,65.16666667,0,76
511,24-05-2009,172.625,0,76
512,25-05-2009,149.0833333,0,78
513,26-05-2009,89.54166667,0,78
514,27-05-2009,144.9166667,0.01,72
515,28-05-2009,58.58333333,0,72
516,29-05-2009,54.54166667,0,74
517,30-05-2009,44.125,0,77
518,31-05-2009,47.375,0,84
519,01-06-2009,69.54166667,0,81
520,02-06-2009,25.70833333,0,78
521,03-06-2009,42.45833333,0,80
522,04-06-2009,80.56521739,0,77
523,05-06-2009,NA,0.15,67
524,06-06-2009,NA,0,72
525,07-06-2009,103.1666667,2.27,66
526,08-06-2009,79.83333333,0.01,75
527,09-06-2009,39.29166667,0,81
528,10-06-2009,16.75,0,79
529,11-06-2009,79.25,0,77
530,12-06-2009,33.04166667,0,77
531,13-06-2009,80.54166667,0,78
532,14-06-2009,59.875,0,77
533,15-06-2009,112.5416667,1.04,68
534,16-06-2009,101.3333333,0.03,72
535,17-06-2009,133.2083333,0.17,74
536,18-06-2009,320.7083333,0.09,78
537,19-06-2009,263.2083333,0,81
538,20-06-2009,155.5416667,0,82
539,21-06-2009,83.70833333,0,82
540,22-06-2009,24.35714286,0,83
541,23-06-2009,NA,0,89
542,24-06-2009,121.0555556,0,88
543,25-06-2009,116,0,85
544,26-06-2009,228.6666667,0,83
545,27-06-2009,135.75,0,87
546,28-06-2009,119.8333333,0,87
547,29-06-2009,75.08333333,0,86
548,30-06-2009,21.41666667,0,85
549,01-07-2009,26.75,0,85
550,02-07-2009,52.25,0,87
551,03-07-2009,97.70833333,0,84
552,04-07-2009,154.75,0.12,83
553,05-07-2009,137.1111111,1.01,78
554,06-07-2009,NA,0,82
555,07-07-2009,126.2173913,0.2,77
556,08-07-2009,70.91666667,0,79
557,09-07-2009,61.29166667,0,84
558,10-07-2009,140.3478261,0,82
559,11-07-2009,151.0434783,0.19,80
560,12-07-2009,106.9565217,2.15,78
561,13-07-2009,132.4166667,0.05,81
562,14-07-2009,86.15,0,85
563,15-07-2009,156.7916667,0,80
564,16-07-2009,127,2.3,71
565,17-07-2009,56.66666667,0,81
566,18-07-2009,47.45833333,0,82
567,19-07-2009,105.7916667,0.2,85
568,20-07-2009,72.5,0,86
569,21-07-2009,104.3333333,0.33,81
570,22-07-2009,180.625,0.42,76
571,23-07-2009,53.875,0.04,75
572,24-07-2009,49,0,78
573,25-07-2009,32.66666667,0,80
574,26-07-2009,82.95833333,0,78
575,27-07-2009,102.7083333,0,78
576,28-07-2009,138.5652174,0,81
577,29-07-2009,239.4090909,0,82
578,30-07-2009,192.9583333,0.73,77
579,31-07-2009,93.08333333,0.76,79
